Date,Campaign,AdWords Campaign ID,Sessions,Clicks,Cost,Impressions,Transactions,Revenue,Quantity,HotelName
20161104,DV Tortworth Estate Brand + City [UK] (S) ^KW *AD,685510691,3,3,5.03,114,0,0,0,De Vere Tortworth Estate
20161105,DV Cotswold Water Park Brand [WW-UK] (S) ^KW *AD,685552281,3,3,2.64,77,0,0,0,De Vere Cotswold Water Park
20161105,DV Tortworth Estate General [UK] (S) ^KW *AD,685510694,3,3,7.86,207,0,0,0,De Vere Tortworth Estate
20161106,BMT Beaumont Estate Brand [UK] (S) ^KW ^RLSA-B *AD,160014634,3,0,0,0,0,0,0,De Vere Beaumont Estate
20161106,DV Oxford Thames Brand [WW-UK] (S) ^KW *AD,685510703,3,3,1.61,68,0,0,0,De Vere Oxford Thames
20161106,PHB Principal Brand [WW-UK] (S) ^KW ^RLSA-B *AD,692255215,3,3,5.12,309,0,0,0,Principal
20161106,zZz PAL The Palace Brand [UK] (S) ^KW ^RLSA-B *AD,160000354,3,0,0,0,0,0,0,The Principal Manchester
20161106,zZz PHB Brand [WW-UK] (S) ^KW ^RLSA-B *AD,229148794,3,0,0,0,0,0,0,Principal
20161107,BMT Beaumont Estate Brand [UK] (S) ^KW ^RLSA-B *AD,160014634,3,0,0,0,0,0,0,De Vere Beaumont Estate
20161107,zZz PHB Brand [UK] (S) ^KW ^RLSA-B *AD,160001554,3,0,0,0,0,0,0,Principal
20161107,zZz PHB Brand [WW-UK] (S) ^KW ^RLSA-B *AD,229148794,3,0,0,0,0,0,0,Principal
20161108,DV Latimer Estate Remarketing [UK] (C) ^REM *NM,692789746,3,3,3.57,924,0,0,0,De Vere Latimer Estate
20161108,zZz GRG The George Brand [UK] (S) ^KW ^RLSA-B *AD,160000474,3,0,0,0,0,0,0,The Principal Edinburgh George…
20161102,CRG Cranage Hall Brand [UK] (S) ^KW ^RLSA-B *AD,160000234,2,0,0,0,0,0,0,De Vere Cranage Estate
20161102,DV Selsdon Estate General [UK] (S) ^KW *AD,685552044,2,2,4.31,56,0,0,0,De Vere Selsdon Estate
20161102,ETD Eastwood Hall Brand [UK] (S) ^KW ^RLSA-B *AD,159636514,2,0,0,0,0,0,0,Eastwood Hall
20161102,HOR Horwood Brand [UK] (S) ^KW ^RLSA-B *AD,160014394,2,0,0,0,0,0,0,De Vere Horwood Estate
20161102,"zZz Wychwood Park, Crewe Brand [UK] (S) ^KW ^RLSA-B *AD",257117087,2,0,0,0,0,0,0,Wychwood Park
