HotelRes Ltd,184957,TA,,,,
Hotelscene,191108,TA,,,,
hotelshop,7229561,Deal,,,,
Hotelshop UK Limited,184958,Deal,,,,
HOTELSHOP UK LTD *USE OTHER PROFILE**,4902042,Deal,,,,
Hotwire,2413123,OTA,,,,
Hotwire P R,7504476,OTA,,,,
HPN Global,2935845,TA,,,,
HRG,162368,TA,,,,
HRG,197120,TA,,,,
HRG UK,187130,TA,,,,
HRG UK,200454,TA,,,,
HRG UK - Accounts,162373,TA,,,,
HRS - Hotel Reservation Services Ltd,2465757,OTA,,,,
HRS - Hotel Reservation Services Ltd,448412,OTA,,,,
Ideal Venues,2181539,TA,,,,
In Any Event,469854,TA,,,,
INFOTEL SOLUTIONS,642627,TA,,,,
INNTEL CONFERENCE SPECIALISTS& HOTEL RES,187430,TA,,,,
Intouch International,449299,TA,,,,
ISARIA VERKEHRSGESELLSCHAFTBETEILIGUNGS,25974558,TA,,,,
JAC Travel,449092,FIT,,,,
JAC Travel Scotland,438444,FIT,,,,
Jacob Online - JAC Travel,163041,FIT,,,,
Jalpak International (Europe) BV,424862,TA,,,,
Jigsaw Conferences Limited,184969,TA,,,,
Jigzaw,5283935,TA,,,,
Just Venues,4655421,TA,,,,
KDM Events,2888441,TA,,,,
Key Reservations (NC),490570,TA,,,,
Kinwardstone Conferencing,184970,TA,,,,
Kuoni Destination Management,464018,TA,,,,
Lastminute.com,163394,OTA,,,,
Laterooms.com,168655,OTA,,,,
Liberty Incentives & Congresses France,6251403,TA,,,,
Logical Venue Solutions,450147,TA,,,,
London Rooms,497847,OTA,,,,
Londontown.com,452311,OTA,,,,
M.I.T TRAVEL & TOURS,25925805,TA,,,,
Marketing Birmingham,1546504,TA,,,,
Marketing Manchester,448406,TA,,,,
Mash Health,7837289,TA,,,,
Maximillion,184977,TA,,,,
McKinlay Kidd,3278662,TA,,,,
MCNEILL RIGBY TRAVEL LTD,5244747,TA,,,,
Meeting Select,2066324,TA,,,,
MEON VALLEY BUSINESS TRAVEL LTD,2407213,TA,,,,
Miki Travel,207295,FIT,,,,
Mosaic Events,184979,TA,,,,
Motivaction Plc,845175,TA,,,,
MS Tours & Travels Ltd,4101624,TA,,,,
Naked Events,184981,TA,,,,
Newells Travel,5336088,TA,,,,
NOE CORP.,1665781,TA,,,,
Norad Travel Ltd,475219,TA,,,,
NUMERODIX,2087477,TA,,,,
NYS CORPORATE LIMITED,164457,TA,,,,
O.V.P. ORGANISATION VOYAGES,3788641,TA,,,,
Office Christmas,1273891,TA,,,,
"ORBITZ WORLDWIDE, LLC",7043104,OTA,,,,
